entry_z,exit_z,cooldown,total_return,ann_return,sharpe,max_dd,num_trades,win_rate,profit_factor,pct_time_invested,total_costs
1.6,0.5,15,-0.9829422826330061,-0.1414160433903966,-1.0741829844293247,13.581721196658853,28,35.714285714285715,0.5597860003934687,27.727272727272727,21937.177646947086
1.6,0.5,42,0.08940568149476312,0.012803642838088436,-1.032007433210164,13.581713021210117,28,32.142857142857146,0.582858776678547,27.727272727272727,21787.296116544807
1.6,0.8,10,-2.935462686323421,-0.4259301340365118,-1.1677236942801332,13.581711203347608,28,39.285714285714285,0.4879696020761644,25.738636363636363,21798.85626096347
1.6,0.8,15,-2.1072516765146867,-0.30465285617967686,-1.1343925327922335,13.581720943824843,28,39.285714285714285,0.5041667121243917,25.738636363636363,20542.394154165224
1.6,0.8,21,-2.235853495821543,-0.32342659236714866,-1.1388620261253453,13.581707110787688,28,35.714285714285715,0.4976879367213274,25.738636363636363,21235.516893900498
1.6,0.8,30,-2.487338396795583,-0.3602004473978959,-1.1464079079437681,13.728964906257701,28,39.285714285714285,0.49480623033865273,25.738636363636363,21868.91176305405
1.8,0.2,10,4.514793758013798,0.6346333734891685,-0.9052712249803905,13.58173703959841,27,48.148148148148145,0.9966756273754955,29.204545454545457,23172.241140392445
1.6,0.8,42,-2.2475241008375306,-0.32513135441442076,-1.1392814127837996,13.58170993673575,28,35.714285714285715,0.4977797723997134,25.738636363636363,20807.2381602816
1.8,0.2,15,4.033852678737184,0.5681590452161212,-0.9223515118525412,13.581744928370371,27,48.148148148148145,0.9573193995499728,29.204545454545457,22003.921833639666
1.8,0.2,21,4.965538020103262,0.6966965034241213,-0.8878744369507536,13.581728528999767,27,48.148148148148145,1.0165892720108416,29.204545454545457,23217.974437150828
1.8,0.2,30,4.470081604752643,0.6284644470784251,-0.9025213543767923,13.728990974317052,27,48.148148148148145,0.9986372179647202,29.204545454545457,23072.166608924792
1.8,0.2,42,5.057066217244882,0.7092711541665686,-0.8851055352043357,13.581728528999767,27,48.148148148148145,1.015635267484672,29.204545454545457,22535.986169695872
1.8,0.5,10,1.5919116118078467,0.22652231705455605,-1.0005291089183563,13.581701887437022,27,37.03703703703704,0.6624198691782827,26.590909090909093,22337.328293202263
1.8,0.5,15,0.9527886299694424,0.1359457125183594,-1.024652545937107,13.581708061838626,27,37.03703703703704,0.6496377628296187,26.590909090909093,21400.83841090909
1.8,0.5,30,1.697744357613637,0.24147381040404703,-0.992888463100107,13.728953189960572,27,33.33333333333333,0.6680415380004869,26.590909090909093,21830.07515388741
1.8,0.5,42,2.0693435870634973,0.29386603715686466,-0.981492457493942,13.58170465268386,27,37.03703703703704,0.6745077048549893,26.590909090909093,21254.18516288904
1.8,0.5,21,2.0866324961632605,0.2962996407232188,-0.9810602836396296,13.58170465268386,27,37.03703703703704,0.6752590097386233,26.590909090909093,21700.44503711469
1.8,0.8,10,-0.7658720006216317,-0.1100829713546636,-1.1075503490102159,13.58169790847181,27,40.74074074074074,0.573319974901344,24.602272727272727,21079.100422461524
1.8,0.8,15,-0.1768728682828136,-0.0253585961047742,-1.0839799632828084,13.581707808638278,27,40.74074074074074,0.5889743455966139,24.602272727272727,19996.794242615637
1.8,0.8,21,-0.28462865579505453,-0.040826622359446674,-1.0874821315406586,13.581701569000979,27,40.74074074074074,0.5818400140139405,24.602272727272727,20453.384630111424
1.8,0.8,30,-0.5535670195196056,-0.07949449762552074,-1.095514764994315,13.728949426728764,27,40.74074074074074,0.5771613734083594,24.602272727272727,21322.85554480896
1.8,0.8,42,-0.31376156709775094,-0.04501102524061551,-1.0884357962263795,13.581701569000979,27,40.74074074074074,0.5813487583637904,24.602272727272727,20255.583223531135
2.0,0.2,10,6.590156069096643,0.9185125235105174,-0.8484873046982457,13.685061057472586,27,55.55555555555556,1.1349663081577421,28.295454545454547,23335.554529976795
2.0,0.2,15,6.041203671753034,0.8438877112080023,-0.8672036792656028,13.68506782517484,27,55.55555555555556,1.0911882754313291,28.295454545454547,22316.91096170047
2.0,0.2,21,7.027624134585471,0.9777467233534454,-0.8319389265749584,13.685053009470781,27,55.55555555555556,1.156513116554573,28.295454545454547,23376.60731614729
2.0,0.2,30,6.878707628355711,0.9576064052047029,-0.8399188624502395,13.609755416958333,27,55.55555555555556,1.15049535571371,28.295454545454547,23275.923388090287
2.0,0.2,42,7.121036403397355,0.9903680817209937,-0.8291656089279045,13.685053009470781,27,55.55555555555556,1.1553459037740639,28.295454545454547,22680.23364713654
2.0,0.5,10,3.6918893390371585,0.5207334927453511,-0.9402767577673122,13.685030500014376,27,44.44444444444444,0.7674021728569607,25.795454545454543,22510.84376169409
2.0,0.5,21,4.143817116010143,0.5833812028986918,-0.9224956591669133,13.685032254903536,27,44.44444444444444,0.7826150579774719,25.795454545454543,21840.34709509194
2.0,0.5,42,4.126248549662239,0.5809501458550193,-0.9229316104215699,13.685032254903536,27,44.44444444444444,0.7816601599806531,25.795454545454543,21384.27463866982
2.0,0.5,15,3.010552915028273,0.4258407832124167,-0.9650144801961482,13.685035777531022,27,44.44444444444444,0.7568709290049283,25.795454545454543,21542.045909029166
2.0,0.5,30,4.064246033181798,0.5723677145937023,-0.9288712171532498,13.609726480201301,27,40.74074074074074,0.7815158121075277,25.795454545454543,22026.248349049605
2.0,0.8,10,0.1888907864974346,0.027039230990610896,-1.0853999403046009,13.685027041135783,26,50.0,0.6745615017366849,23.75,20819.469683617826
2.0,0.8,15,0.7552426743138698,0.10785007710303329,-1.06254296042869,13.68503555782718,26,50.0,0.694643064775178,23.75,19503.02109330966
2.0,0.8,21,0.6234529458068894,0.08908025243083983,-1.0667704507838855,13.685029574347125,26,50.0,0.6850385001320323,23.75,19964.577706813518
2.0,0.8,30,0.6588135193058872,0.09411846069879992,-1.0699343523572715,13.609723598169584,26,50.0,0.68598853825625,23.75,20895.57271995476
2.0,0.8,42,0.5940651078547816,0.08489189091860361,-1.067730141700278,13.685029574347125,26,50.0,0.6844069563197798,23.75,19764.8704453989
